Text1,Text2,score
energy,secretary,0.09282554304743887
secretary,senate,0.23210787780263037
energy,laboratory,0.11277152980435062
computer,laboratory,0.28754655789029926
weapon,secret,0.25843905798274613
FBI,fingerprint,0.33789979521965013
FBI,investigation,0.41713530498614604
investigation,effort,0.23487988691938708
Mars,water,0.1363715539684853
Mars,scientist,0.17972103394000177
news,report,0.31236360530748275
canyon,landscape,0.24369584767074506
image,surface,0.128435848297629
discovery,space,0.041256407186176215
water,seepage,0.3931343389313219
sign,recess,0.048051149334879896
Wednesday,news,0.2601482473558542
mile,kilometer,0.725847766900655
computer,news,0.10399809589378264
territory,surface,0.13958473876981659
atmosphere,landscape,0.2697125867082083
president,medal,0.06946567643021644
war,troops,0.47614769735505125
record,number,0.22208689618507182
skin,eye,0.3397478655446597
Japanese,American,0.4124884567990825
theater,history,0.12982811419605722
volunteer,motto,0.1912766273321933
prejudice,recognition,0.11657063499152213
decoration,valor,0.32271569065128214
century,year,0.33483711696352475
century,nation,0.2919147110433584
delay,racism,0.023803047276360997
delay,news,0.1258681515121694
minister,party,0.1715518630335881
peace,plan,0.11900727406682077
minority,peace,0.06868557940627855
attempt,peace,0.0613787083768194
government,crisis,0.29561758438301555
deployment,departure,0.2766171062231737
deployment,withdrawal,0.406050537721379
energy,crisis,0.13847880144726843
announcement,news,0.4673331410771583
announcement,effort,0.23130609032746338
stroke,hospital,0.23570410344641088
disability,death,0.27521098917678005
victim,emergency,0.1758063547708713
treatment,recovery,0.24930656617028107
journal,association,0.1629582029027869
doctor,personnel,0.16101651848898219
doctor,liability,0.06116039480524312
liability,insurance,0.4524445564337919
school,center,0.14268212155681087
reason,hypertension,0.07555150027440763
reason,criterion,0.3923366286975274
hundred,percent,0.18021872142328146
Harvard,Yale,0.7817695649702248
hospital,infrastructure,0.14553327831446122
death,row,0.1561247916483428
death,inmate,0.2757277363942038
lawyer,evidence,0.1986079158154125
life,death,0.36187766277695865
life,term,0.22676062502007116
word,similarity,0.09658685136395848
board,recommendation,0.3211810459598684
governor,interview,0.11880447813088518
OPEC,country,0.11948939224557782
peace,atmosphere,0.13366278740704726
peace,insurance,0.09818777079764718
territory,kilometer,0.15408423289176187
travel,activity,0.12772587181196932
competition,price,0.17668063915359175
consumer,confidence,0.19126539130866735
consumer,energy,0.24616711429569332
problem,airport,0.10208498958834891
car,flight,0.14423442854721988
credit,card,0.2681569375206534
credit,information,0.1166298090661696
hotel,reservation,0.30282541376511285
grocery,money,0.12704519497318334
registration,arrangement,0.11914842002531206
arrangement,accommodation,0.23056125968091606
month,hotel,0.12591951730151907
type,kind,0.6666412742887955
arrival,hotel,0.15935500494585914
bed,closet,0.43194774158587795
closet,clothes,0.41773039086351194
situation,conclusion,0.18474202387266314
situation,isolation,0.20984451422600814
impartiality,interest,0.20375370542944965
direction,combination,0.09585041875954656
street,place,0.17753028662194525
street,avenue,0.3832703597323275
street,block,0.2669592147626607
street,children,0.1537069537890026
listing,proximity,0.12360442657203996
listing,category,0.110384074249785
cell,phone,0.28629882641215154
production,hike,0.01826117724794095
benchmark,index,0.49516883729680017
media,trading,0.12612035609764377
media,gain,0.10171881349715985
dividend,payment,0.2785915389919126
dividend,calculation,0.1506529827049811
calculation,computation,0.60769564262149
currency,market,0.3382996385289919
OPEC,oil,0.5333777489649957
oil,stock,0.22039819222037915
announcement,production,0.08066592769600006
announcement,warning,0.24619009019573357
profit,warning,0.13709336272025544
profit,loss,0.3419945631954132
dollar,yen,0.5745355733900523
dollar,buck,0.2562117663387409
dollar,profit,0.25337400520970044
dollar,loss,0.02656671786566451
computer,software,0.5444109009441873
network,hardware,0.2937781022346726
phone,equipment,0.13774038202118252
equipment,maker,0.20798198893294556
luxury,car,0.2445117035883767
five,month,0.4040083306575122
report,gain,0.09995907841668117
investor,earning,0.0034081487554601733
liquid,water,0.36535280705570683
baseball,season,0.26224381383934015
game,victory,0.3314370998268079
game,team,0.4966561976763821
marathon,sprint,0.46361580507778727
game,series,0.2913078377909841
game,defeat,0.33298919007623523
seven,series,0.33100622040133276
seafood,sea,0.31509067045750416
seafood,food,0.5295588135347362
seafood,lobster,0.6544079661830211
lobster,food,0.3051046574532728
lobster,wine,0.31948611004142446
food,preparation,0.17799316175931923
video,archive,0.17350748370794286
start,year,0.19018601653282616
start,match,0.24805228505264115
game,round,0.2722221308777323
boxing,round,0.17759245890967584
championship,tournament,0.6655316652249095
fighting,defeating,0.3445202697532317
line,insurance,0.08391069267081844
day,summer,0.4481316861190546
summer,drought,0.16378904857960325
summer,nature,0.12260760284334526
day,dawn,0.33108572843995754
nature,environment,0.4028488195011388
environment,ecology,0.429976278047298
nature,man,0.11616960285796926
man,woman,0.7664012230995355
man,governor,0.15232417974691537
murder,manslaughter,0.6057650404450678
soap,opera,0.19557990884615872
opera,performance,0.171674661562193
life,lesson,0.19252908816986825
focus,life,0.14205680885097377
production,crew,0.17930841217579035
television,film,0.3455700513001896
lover,quarrel,0.2322658183592079
viewer,serial,0.23336465050595478
possibility,girl,0.06003776645056644
population,development,0.175023023252281
morality,importance,0.2053404137133392
morality,marriage,0.30624135017151477
Mexico,Brazil,0.4954920107429294
gender,equality,0.5059923313493151
change,attitude,0.25142705171689245
family,planning,0.1914883223839326
opera,industry,0.042913501003435474
sugar,approach,0.007720567894579693
practice,institution,0.09677622061106278
ministry,culture,0.1877954614376831
problem,challenge,0.4629537553710057
size,prominence,0.13376704673443535
country,citizen,0.2098593502048423
planet,people,0.08704742482853342
development,issue,0.09010776804044979
experience,music,0.16575715350775078
music,project,0.021346120697963784
glass,metal,0.37073973042447605
aluminum,metal,0.6375763526011865
chance,credibility,0.23921892223663271
exhibit,memorabilia,0.3025929656644236
concert,virtuoso,0.2857018436817632
rock,jazz,0.45277101766548217
museum,theater,0.3325637359830772
observation,architecture,0.13629394812604606
space,world,0.12962709096141506
preservation,world,-0.02147062395662152
admission,ticket,0.4368831364244093
shower,thunderstorm,0.3426947352045503
shower,flood,0.12947935011137016
weather,forecast,0.36272073753980905
disaster,area,0.14522829994920333
governor,office,0.2966355743544258
architecture,century,0.14309330551379795
